-> Cluster1
Point11	78.468080 92.307929 24.858135
Point1992	67.411938 21.896123 72.692655
Point1994	86.649189 7.840351 95.900380
Point1997	77.332304 5.340087 97.696122
Point2007	97.593125 22.839656 75.621786
Point2058	68.660200 19.198575 66.037978
Point2090	56.490426 9.761160 85.294362
Point2093	95.936145 20.868381 87.155847
Point2130	61.383806 29.787178 69.350936
Point2136	72.930206 28.395729 97.506141
Point2140	74.461380 25.444369 63.701326
Point2150	88.300817 23.828606 91.540946
Point2152	59.634943 6.343236 82.519864
Point2161	83.422711 9.234901 97.599207
Point2166	89.960715 12.601164 61.557224
Point2201	93.983844 13.464403 66.754480
Point2206	78.144808 12.870072 76.115324
Point2215	63.724706 25.741780 95.348334
Point2221	77.866118 7.823959 57.329893
Point2236	90.456223 2.972181 79.531573
Point2238	72.587491 5.591389 60.779257
Point2240	80.576767 40.475706 74.939869
Point2267	74.933141 7.163660 70.855934
Point2292	71.729021 26.479065 88.733207
Point2304	63.977329 37.879301 74.300689
Point2327	89.846153 10.650393 85.585335
Point2329	71.635793 17.310476 94.160995
Point2330	67.442014 22.323247 90.088386
Point2365	72.832251 9.981203 55.585374
Point2370	73.960280 4.738431 74.793749
Point2379	81.269182 17.638153 81.433114
Point2409	86.365602 12.125316 81.063553
Point2417	78.920468 26.537652 92.187282
Point2446	85.142609 25.968430 56.721320
Point2454	94.810824 30.839194 70.787793
Point2457	79.004076 43.779709 71.306377
Point2459	96.864825 5.191721 81.024629
Point2512	79.415498 32.554978 69.778750
Point2537	89.771074 21.559415 60.607776
Point2542	85.582224 18.784746 94.949571
Point2547	96.562514 34.598027 78.581157
Point2574	73.036876 33.255369 64.514268
Point2638	66.145070 21.887898 86.251797
Point2660	79.800627 7.355937 94.248826
Point2665	65.761757 15.847429 67.596269
Point2687	90.403841 35.753690 65.975636
Point2695	85.765664 37.396987 67.431869
Point2705	65.423500 11.630196 87.033757
Point2709	71.255864 26.686611 83.638447
Point2721	86.859755 11.649873 73.334308
Point2744	78.536492 5.840941 69.639030
Point2765	65.439932 3.490969 87.171436
Point2774	83.942904 16.910120 68.880777
Point2811	88.332561 29.965065 87.635419
Point2822	83.001470 1.637698 85.065616
Point2827	68.625454 13.915029 84.071817
Point2862	86.204701 5.432219 68.069928
Point2872	62.581045 16.991482 76.882607
Point2915	77.958821 32.131796 73.139943
Point2931	77.002356 7.193698 61.748544
Point2951	59.586311 16.024771 81.957006
Point2958	56.969512 11.463004 79.926706
Point2980	66.070971 13.928360 92.376679
Point3006	78.902276 15.716744 79.644425
Point3007	63.789581 14.470753 61.261374
Point3025	62.091677 19.809194 87.183694
Point3077	77.326996 17.555884 59.531526
Point3084	67.874831 15.576690 82.430356
Point3089	78.114329 22.285845 53.851417
Point3090	90.272186 36.945229 69.293762
Point3091	70.917346 4.587155 71.793338
Point3095	95.632691 31.510517 83.490437
Point3115	93.685850 15.268972 91.031109
Point3117	97.426210 14.239315 74.649234
Point3139	67.911905 14.462405 86.573931
Point3146	62.857145 7.251577 73.995868
Point3150	90.750564 7.487254 84.527280
Point3155	76.952799 33.410995 66.312251
Point3157	84.905348 23.062230 97.666399
Point3159	75.925891 1.491212 85.071245
Point3167	67.480134 7.081036 88.515926
Point3178	67.279675 25.732647 77.669156
Point3186	84.310127 31.188437 88.675174
Point3211	65.942603 15.307945 85.967836
Point3226	84.135630 18.019274 85.350378
Point3229	88.579410 16.851185 90.016648
Point3238	93.659080 5.304563 84.297931
Point3246	93.805752 25.754141 64.103552
Point3250	96.673201 33.804017 77.452416
Point3252	78.727652 13.737151 69.418928
Point3254	68.774351 0.541739 79.469177
Point3317	75.856984 4.863412 90.625745
Point3360	74.036379 26.321105 58.292190
Point3363	92.453323 26.675796 72.440707
Point3379	57.105629 26.019934 92.420767
Point3382	73.230587 20.639706 79.262424
Point3384	68.483580 21.187511 78.648111
Point3431	58.497181 8.546184 87.454763
Point3447	59.475202 33.539012 82.830606
Point3450	60.398059 20.877594 90.003437
Point3464	91.795855 36.673888 82.062015
Point3490	86.286468 3.662952 71.985615
Point3505	84.429123 41.672212 74.037039
Point3508	69.698212 8.252301 59.010647
Point3509	90.912132 28.919668 94.924216
Point3528	76.810967 2.419689 94.244306
Point3546	87.459456 20.567226 67.377824
Point3564	56.216358 24.968302 68.590481
Point3580	59.007991 14.344067 88.124231
Point3625	80.905886 1.953553 66.234624
Point3653	88.423211 10.875548 72.801577
Point3664	68.659793 17.620492 96.895501
Point3681	90.091551 16.409018 77.142819
Point3692	97.558282 27.939686 69.539194
Point3701	93.589267 12.969103 92.756938
Point3716	80.347414 0.964647 90.534590
Point3733	91.560236 18.089745 62.204104
Point3735	75.215135 0.004789 89.116917
Point3741	90.300129 8.615562 69.726325
Point3747	87.392559 23.976843 82.715924
Point3756	65.738364 16.020855 61.340913
Point3765	78.828383 8.115695 78.541453
Point3774	74.704082 21.707870 83.302742
Point3780	81.195852 28.477651 70.028225
Point3789	90.545936 36.073625 83.816776
Point3796	55.019407 20.859468 83.720223
Point3804	83.736887 4.020693 84.523524
Point3816	82.730702 14.824968 65.727675
Point3870	57.384561 13.803729 87.277788
Point3875	63.791473 10.322295 92.063827
Point3878	72.470886 0.750621 85.146207
Point3880	57.564069 18.074726 70.834830
Point3893	87.081717 38.745227 83.155889
Point3905	68.185189 12.751403 60.251490
Point3910	94.535003 35.597755 84.435856
Point3964	59.413219 10.297194 82.297191
Point3971	73.465126 4.342710 91.147130
Point3974	67.200358 5.032101 81.979083
Point3977	96.240495 23.182643 83.734317
Point3978	68.751143 18.627429 83.286092
Point3984	61.637597 35.664708 84.357187
Point3998	73.917918 10.046098 88.067645
Point4008	66.039557 13.046111 92.391991
Point4021	83.588893 11.160832 96.607472
Point4066	81.979960 32.418081 73.903621
Point4093	83.166303 37.174365 65.381617
Point4103	75.350950 30.664621 70.212857
Point4131	88.688101 17.097429 81.759090
Point4184	86.404495 19.763607 69.556760
Point4214	94.990684 28.856527 71.969402
Point4235	90.175153 32.097760 83.241268
Point4243	73.078701 7.529515 59.098665
Point4245	81.818052 10.148843 80.555413
Point4252	95.595204 30.984919 89.218077
Point4258	85.503654 15.429106 61.527522
Point4262	75.072797 11.926776 66.282321
Point4284	78.758575 18.428340 78.277521
Point4297	82.818803 18.378416 59.434768
Point4311	89.901125 2.790421 81.467278
Point4317	79.372391 6.312409 75.042875
Point4330	74.263538 39.759302 79.094895
Point4344	65.401485 30.615150 76.002833
Point4352	69.137155 12.331002 80.978991
Point4353	83.905776 16.564132 75.182084
Point4361	80.986221 1.454303 81.901730
Point4368	68.314813 12.832376 96.400076
Point4392	83.761044 13.375387 84.799000
Point4393	79.384248 17.158745 64.809504
Point4408	65.988871 12.001112 85.899100
Point4414	65.702767 15.624335 84.764542
Point4429	75.589425 20.387564 89.570942
Point4439	72.249792 1.556668 88.070389
Point4454	59.409687 25.654090 92.910678
Point4459	86.558178 14.927954 79.016284
Point4461	89.294675 17.962402 89.439029
Point4467	70.538045 6.280675 78.923386
Point4497	77.793776 18.185867 93.971124
Point4508	57.854069 11.084073 89.209053
Point4522	83.356930 7.365204 77.454393
Point4525	84.417975 21.498640 94.468078
Point4527	90.701537 18.895743 74.265030
Point4537	79.737051 25.733216 91.917823
Point4549	88.738403 8.744068 64.712576
Point4563	79.555209 25.449103 81.973461
Point4574	71.634391 7.374272 95.745145
Point4582	60.639405 18.511144 97.244165
Point4612	97.128780 16.384894 85.082124
Point4626	81.060554 19.266816 67.122828
Point4636	67.851006 20.554757 57.925543
Point4647	91.498504 6.451263 93.288637
Point4649	67.441776 11.215899 79.773904
Point4651	70.994535 16.152479 87.150807
Point4662	70.068417 14.444295 91.301069
Point4689	66.862086 17.694155 71.397236
Point4690	56.366013 16.682140 86.932083
Point4707	69.981959 20.768392 95.786780
Point4759	65.861490 14.679773 57.393195
Point4774	76.484286 33.363882 66.523307
Point4815	81.033534 42.569295 86.467688
Point4825	65.902838 9.234314 89.899732
Point4829	76.811851 16.763388 70.681159
Point4873	92.364940 25.621289 80.567919
Point4909	88.901291 0.590574 75.707262
Point4926	94.057332 29.388134 86.127705
Point4933	66.806002 0.205849 76.720377
Point4941	94.390061 20.303037 68.447847
Point4953	84.676175 16.320027 68.265184
Point4961	59.061311 11.217990 81.558981
Point4974	87.399584 19.034958 89.518757
Point4992	88.450607 13.991539 85.762608
-> Cluster5
Point8	49.753578 32.986435 8.991782
Point10	32.686987 13.395923 7.425506
Point22	70.620837 11.969115 15.478574
Point43	48.160510 20.041049 41.036244
Point54	37.006231 6.514631 4.808844
Point88	34.948547 30.344774 23.822758
Point89	44.541996 35.119112 14.208747
Point91	70.952430 10.248370 16.118946
Point142	45.392313 16.504109 12.675842
Point174	57.109745 5.808713 39.746878
Point177	33.546405 20.583728 25.457126
Point194	37.387746 13.106767 39.822727
Point198	63.656541 5.873203 26.514049
Point200	67.860827 27.973298 27.896145
Point202	55.136983 4.141030 21.687681
Point206	62.348610 16.440088 34.041265
Point208	36.301945 22.290548 34.494807
Point233	50.167633 26.343537 31.273672
Point243	32.110042 13.051190 4.705613
Point246	48.453129 4.630429 40.467718
Point250	65.326842 19.509321 34.920610
Point254	38.594810 7.938763 21.182676
Point259	43.971245 5.631579 16.487607
Point262	51.705636 18.125477 38.651155
Point266	51.658800 1.656259 35.317825
Point275	49.838189 25.960509 15.805279
Point279	52.424790 19.889831 3.997098
Point299	38.950947 27.003157 5.456939
Point308	53.275403 27.192370 13.828540
Point323	39.095901 24.915678 8.824348
Point335	42.994938 34.943658 30.006486
Point338	32.919529 13.628206 31.768948
Point347	36.457872 22.417751 29.352781
Point348	59.996337 5.776552 10.770284
Point360	54.642204 12.842995 16.095507
Point382	55.109611 14.204834 7.191039
Point387	53.129908 27.456497 19.489701
Point403	53.041845 11.711071 14.129436
Point419	37.981977 26.911070 11.214210
Point425	43.706668 12.677204 38.932416
Point432	56.409550 21.160549 20.090131
Point439	37.293077 20.085018 24.263931
Point441	47.359741 29.812573 16.010689
Point445	61.015613 7.022464 38.152355
Point479	38.253795 7.451382 0.929502
Point485	53.093452 27.074789 2.857248
Point500	62.174046 0.223237 4.616437
Point501	45.891103 12.590234 0.636417
Point502	47.521995 26.069912 3.240214
Point522	31.051072 6.134935 26.854032
Point542	60.651038 22.496704 21.525745
Point543	50.970601 35.942129 33.664354
Point557	52.308822 19.729603 29.817318
Point590	68.144046 6.040470 15.068622
Point591	41.188362 12.689118 4.170596
Point613	49.296517 13.019970 28.907434
Point640	63.525323 3.635992 35.894749
Point731	51.216665 21.625138 39.231289
Point739	44.306991 9.887505 19.055900
Point741	55.380214 8.118951 24.416576
Point745	47.272267 3.275505 12.978140
Point784	53.652065 6.979478 11.583269
Point789	62.137783 20.811030 1.931781
Point799	55.765092 22.127014 42.843457
Point802	48.513866 12.131670 2.623663
Point807	66.819395 31.448890 7.996060
Point808	50.040960 24.135839 11.141861
Point813	46.288143 6.822524 10.604309
Point846	45.712793 17.352081 10.277942
Point856	67.857671 16.757327 31.516573
Point862	43.362824 27.491147 35.032658
Point865	64.206924 30.857772 23.506907
Point886	39.543597 21.444320 25.663893
Point891	49.881114 14.886039 4.425439
Point905	57.007800 4.567770 6.874836
Point915	38.242566 12.044475 23.657776
Point918	53.937368 4.145705 33.967345
Point934	59.931993 25.570208 38.304563
Point942	49.440934 23.747745 32.066112
Point943	43.976487 11.141102 28.185934
Point968	46.715864 14.313267 16.901674
Point973	52.033314 39.621864 9.136819
Point1019	31.153268 16.564524 4.609571
Point1031	49.657225 11.153366 3.460854
Point1032	33.743734 17.122701 38.006188
Point1054	27.817936 20.862999 25.762594
Point1060	63.797410 18.900643 29.573891
Point1069	62.974701 4.167548 10.046359
Point1070	29.618698 16.658448 17.342866
Point1098	62.082965 25.021661 21.309922
Point1106	70.280701 11.699457 7.807237
Point1113	49.526111 13.195925 34.816010
Point1127	58.556213 20.161393 40.306079
Point1144	36.645649 28.743049 31.692862
Point1159	58.688127 12.063655 38.839893
Point1160	57.464375 4.366976 40.694808
Point1187	33.151765 14.470570 21.998920
Point1207	37.747848 15.871268 0.581221
Point1215	40.576529 11.693392 28.514907
Point1243	27.024142 15.060562 13.421637
Point1252	55.801477 6.500796 42.861435
Point1254	73.231582 19.751999 12.060465
Point1270	31.153489 9.370917 15.839220
Point1292	32.863988 33.400600 15.429565
Point1297	39.713784 16.937602 22.876091
Point1311	30.730796 10.331609 6.922543
Point1326	54.772800 33.652176 14.291561
Point1333	45.667660 17.359174 0.922526
Point1343	42.880890 18.344601 14.883770
Point1349	35.411842 30.841727 10.293155
Point1356	58.072299 10.449120 4.651304
Point1367	48.478317 27.056514 8.544469
Point1368	71.645764 8.262411 19.210561
Point1371	48.678036 14.779292 1.749025
Point1390	47.040339 3.540396 9.581909
Point1418	57.895293 21.756107 25.864830
Point1447	63.641665 11.525709 14.764634
Point1448	54.721524 30.371891 39.192315
Point1452	32.178740 5.048909 23.242475
Point1458	38.028655 3.838462 11.196348
Point1465	56.083149 8.834014 6.297417
Point1536	61.373622 6.928517 37.017793
Point1537	46.716791 2.680622 1.161531
Point1546	50.831717 30.398857 11.492110
Point1568	50.280711 34.884802 12.625415
Point1596	68.300150 9.697280 8.569879
Point1611	52.021944 40.247913 21.724313
Point1612	55.774147 19.277559 4.419204
Point1638	47.825233 9.154447 0.934587
Point1649	42.138792 16.991711 40.767904
Point1652	60.302406 25.855049 21.517402
Point1660	58.294890 16.339895 9.160184
Point1677	53.438645 28.967693 40.217299
Point1710	36.975198 9.769990 30.545976
Point1714	59.020928 40.869366 16.386603
Point1716	48.972776 14.976300 24.138924
Point1729	55.432590 3.778383 31.917950
Point1732	47.222061 3.822820 35.959532
Point1740	66.984959 9.299731 28.726022
Point1752	63.183851 23.150567 20.910374
Point1762	53.822294 6.515938 1.619772
Point1796	53.334067 22.694019 31.389574
Point1798	56.980189 16.864475 42.768996
Point1799	43.231600 17.687395 25.056630
Point1807	69.943816 25.411684 10.377481
Point1809	48.365687 37.722037 28.610237
Point1836	66.932611 32.874523 21.935492
Point1850	71.253073 20.740017 21.262587
Point1865	29.015611 11.369366 27.645476
Point1895	45.978452 3.776340 30.086552
Point1909	60.503374 17.147066 21.413895
Point1932	39.851788 34.580117 20.774569
Point1933	50.477555 22.297929 25.372735
Point1937	53.155066 26.311261 40.723716
Point1944	32.010883 8.721020 14.622995
Point1961	28.543632 12.345587 8.764939
Point1978	49.244762 8.828272 42.660921
Point2013	43.777807 4.501002 34.859523
Point2025	53.041787 20.207611 22.587827
Point2100	50.484848 23.723536 0.063182
Point2117	62.404150 15.701097 21.690876
Point2126	53.895053 22.170824 12.620398
Point2132	41.323475 15.066767 35.860326
Point2133	35.140703 24.840509 28.565637
Point2143	64.109854 23.546544 2.405086
Point2154	67.317774 6.121001 12.520920
Point2160	64.300859 2.843307 11.945594
Point2184	45.824500 8.399228 25.807206
Point2204	55.271966 8.366063 19.828064
Point2217	29.809105 13.654896 16.296438
Point2223	50.818791 28.016835 14.371762
Point2232	33.939693 15.075655 28.910958
Point2274	37.257284 11.477066 27.758492
Point2282	57.804410 25.411923 16.017712
Point2294	67.691236 21.372712 6.187903
Point2321	49.878216 23.809166 17.227879
Point2323	48.706523 15.289960 11.763520
Point2331	36.916861 1.695844 29.844882
Point2353	56.165482 5.612303 7.624168
Point2356	71.889423 6.891245 22.914431
Point2389	61.595922 19.377967 17.515221
Point2482	69.850138 15.732469 29.594574
Point2486	65.661515 1.274187 24.116135
Point2493	58.135052 19.556099 4.217400
Point2499	60.556645 28.603269 23.927054
Point2513	42.326355 17.626959 1.460965
Point2533	30.312905 11.636853 5.212474
Point2540	50.149271 44.191165 18.936176
Point2551	58.730727 3.182668 21.092399
Point2617	43.797940 16.165872 34.815423
Point2625	61.158064 27.198871 26.377078
Point2648	31.967985 31.795633 19.147346
Point2652	63.461597 5.621222 33.649911
Point2678	64.793437 26.078622 15.347728
Point2690	43.583961 25.733477 7.000256
Point2712	63.967639 32.183582 21.109687
Point2786	30.291971 19.864724 13.570361
Point2788	64.243679 13.947558 4.757561
Point2837	34.686926 14.102212 22.444182
Point2844	59.765871 11.037037 12.453320
Point2854	33.434774 20.336249 23.514735
Point2867	38.310461 8.398477 11.615469
Point2870	30.441998 3.694164 13.407325
Point2880	47.594793 0.617114 18.899261
Point2882	64.752303 27.328350 14.024066
Point2899	33.074086 11.152847 16.578817
Point2907	59.292453 31.922650 13.054000
Point2912	41.003047 16.941164 9.551235
Point2917	57.780462 8.728638 29.803815
Point2924	55.376540 34.107006 31.242413
Point3001	32.142758 4.310710 8.370786
Point3002	44.423458 14.275510 19.196730
Point3003	52.944636 18.241064 14.937466
Point3026	51.476715 38.268880 28.362899
Point3029	27.606687 17.002383 19.348514
Point3039	31.131442 27.125506 24.483076
Point3058	55.213989 13.384367 12.052975
Point3080	35.347512 10.371790 23.982134
Point3092	62.150198 9.452194 1.255318
Point3133	51.181066 2.249881 11.698195
Point3136	36.219242 6.807365 6.238263
Point3138	73.946859 14.867608 13.818073
Point3169	66.444406 5.966049 25.654677
Point3217	61.838711 1.042163 26.435033
Point3220	60.183979 2.777940 37.287598
Point3231	43.142616 3.288034 1.767456
Point3232	29.317374 17.130430 16.950158
Point3243	61.615770 20.167932 9.956361
Point3263	72.009859 22.598773 24.589282
Point3286	70.591974 15.612011 10.917525
Point3298	46.334348 14.653832 12.009817
Point3309	54.801524 15.365014 34.055339
Point3316	63.003619 20.805938 16.579555
Point3364	56.065344 0.721476 3.430648
Point3366	29.990591 18.948923 15.178819
Point3377	51.271468 24.059053 10.958581
Point3381	47.355303 31.594182 37.110687
Point3389	63.510359 3.191053 17.286962
Point3398	39.350918 2.263075 26.663386
Point3412	60.755777 2.281170 26.062915
Point3452	62.849688 34.856582 18.681522
Point3461	63.083473 26.331015 35.311900
Point3468	43.272601 9.522527 39.304293
Point3476	53.481633 4.409424 25.586043
Point3477	53.010807 8.631600 21.118404
Point3562	57.119613 3.109413 6.893540
Point3578	62.833049 30.953968 14.169454
Point3586	54.072463 21.991511 39.784613
Point3620	57.112809 3.985873 17.879526
Point3630	64.069564 4.680130 4.852507
Point3649	30.029307 19.677787 21.033664
Point3651	29.740498 19.415019 28.838525
Point3668	60.072405 21.799045 7.101088
Point3705	30.875135 25.774852 25.550331
Point3706	41.767306 0.705408 20.057770
Point3713	42.016075 14.871161 23.895501
Point3721	43.172595 28.734892 25.846093
Point3734	58.465350 11.333109 2.223217
Point3778	36.111651 5.231904 9.384756
Point3779	54.650961 16.236887 6.238685
Point3833	61.974559 14.055487 21.810943
Point3876	56.153228 31.519411 35.470724
Point3883	45.741711 30.551383 5.722385
Point3914	33.915375 13.378418 27.589237
Point3915	48.906356 35.978418 14.872512
Point3945	43.881048 0.953399 25.040908
Point3953	49.700232 2.798937 10.989821
Point3959	57.991182 11.778689 5.476591
Point3965	53.610155 15.542673 24.807339
Point4005	48.432505 23.749072 19.153502
Point4026	52.566335 2.967483 14.829763
Point4042	38.102865 26.290799 11.458495
Point4065	48.089637 28.373074 23.325603
Point4068	32.055630 29.034990 15.255743
Point4101	47.365038 22.899757 24.055760
Point4111	61.287256 34.567885 7.312905
Point4140	57.816875 0.458005 12.919303
Point4150	46.874838 4.025300 14.112273
Point4158	46.730574 14.892593 4.767898
Point4164	52.437880 26.126584 0.063490
Point4190	36.707901 20.930050 2.696045
Point4192	57.343756 34.904613 10.975824
Point4215	55.901494 16.829941 12.509470
Point4221	31.997166 21.362514 22.215157
Point4242	66.037143 4.698762 31.896743
Point4246	64.492286 8.504393 15.027685
Point4269	52.022169 31.033066 15.191314
Point4291	43.253387 21.236384 0.329204
Point4302	40.736461 1.089394 27.696615
Point4309	60.990034 13.183391 15.819762
Point4313	44.050590 11.800294 11.647865
Point4323	30.527505 5.713674 19.154860
Point4325	49.517447 7.643377 40.288182
Point4360	44.456497 15.021218 16.922318
Point4388	59.403970 29.103312 4.123582
Point4396	64.622431 5.232081 9.994151
Point4397	73.169890 18.930470 13.595953
Point4405	42.079524 4.266570 29.846598
Point4420	53.882547 5.803471 21.068180
Point4424	40.876498 9.402449 12.215781
Point4428	36.995377 6.054146 1.824709
Point4442	38.155964 14.230067 23.175583
Point4457	35.669950 9.416655 17.210764
Point4500	37.440792 7.445389 32.982237
Point4506	71.935169 16.906438 23.406853
Point4519	53.978938 5.925345 0.407382
Point4523	32.950406 20.838214 15.198066
Point4541	61.085179 16.315845 18.688040
Point4553	55.524574 19.881838 3.567213
Point4555	47.130965 32.707348 32.541679
Point4580	69.590553 18.952820 31.836288
Point4592	70.347292 14.775433 28.721487
Point4631	59.422778 3.616270 30.748550
Point4639	50.893494 1.454860 28.785367
Point4664	71.513442 11.208801 24.808088
Point4695	55.749208 18.407885 15.899963
Point4696	58.837003 16.474017 32.035538
Point4706	55.505437 11.011525 23.548743
Point4708	44.492634 0.369840 4.403668
Point4729	58.154969 3.175719 20.031181
Point4736	54.717527 2.331856 5.979364
Point4796	29.806682 21.069481 16.440510
Point4823	36.941292 27.648002 13.685459
Point4828	59.380604 0.968537 22.443491
Point4834	34.182543 17.440274 14.805333
Point4855	33.116047 11.448927 13.927566
Point4857	65.622877 0.318672 10.685978
Point4858	33.457920 1.828185 8.073961
Point4863	39.815244 23.425686 1.209727
Point4866	46.973029 11.214720 10.355094
Point4878	53.289282 2.463810 35.133388
Point4880	39.846613 7.570326 12.384430
Point4883	53.561335 18.149742 23.171802
Point4893	50.555246 10.676624 24.667319
Point4918	49.037502 14.286407 44.332432
Point4921	27.724198 20.673248 23.150486
Point4998	36.674692 18.877952 27.636089
-> Cluster6
Point7	31.519825 0.441802 86.533922
Point12	37.439860 11.679695 72.514164
Point39	30.805387 19.309607 63.901580
Point76	36.202393 26.558730 79.142379
Point78	19.880353 9.478419 74.154836
Point163	22.104829 10.901141 94.835154
Point192	12.839923 28.990595 66.409824
Point218	44.015689 15.656356 76.456894
Point219	38.068185 3.243169 86.634499
Point236	6.383857 22.537183 89.140231
Point330	30.521541 12.071230 86.461074
Point340	7.093390 27.459274 87.698664
Point351	32.966299 38.515515 92.427536
Point356	26.942251 22.857961 93.497698
Point395	42.104213 20.290893 88.469451
Point453	24.773377 11.731854 61.780043
Point458	25.233052 22.141088 72.197446
Point468	20.306986 18.161356 64.886041
Point483	18.357858 34.153485 93.479635
Point499	40.246971 10.294586 92.543218
Point513	24.625963 13.170051 91.976520
Point514	33.135661 19.944576 66.345796
Point526	32.374831 10.312702 96.627730
Point527	35.573893 25.870629 79.077010
Point619	17.799683 34.028611 91.052049
Point623	19.308935 23.727491 71.473648
Point624	42.635867 24.728809 88.200363
Point639	5.671665 17.184188 94.514344
Point662	25.720626 5.500866 72.511595
Point672	41.807235 17.531801 94.749943
Point711	0.622359 22.644824 90.352184
Point712	17.818043 36.528589 82.307976
Point719	7.326044 23.692910 64.327755
Point728	0.381237 14.487820 79.305067
Point756	18.798697 38.556308 75.507951
Point757	25.104660 32.396953 94.320504
Point759	32.252467 18.126372 81.552874
Point774	29.945089 9.103699 85.863809
Point803	25.195659 44.501108 83.747647
Point820	22.671223 1.432958 78.268817
Point823	2.708688 14.907451 89.937493
Point834	14.525751 5.157744 87.766774
Point836	34.199038 26.291911 96.942815
Point842	18.949989 44.424645 90.897684
Point854	35.468133 22.640373 87.470839
Point866	33.419619 9.680652 71.874402
Point875	24.831670 21.117020 78.239271
Point887	16.574468 22.950054 91.357846
Point911	13.661618 41.658448 88.195348
Point924	10.592001 6.952672 94.898341
Point926	40.207290 26.816784 68.367112
Point946	21.384631 36.234879 74.909455
Point960	1.827526 5.288279 77.775140
Point979	9.863990 37.374597 80.559641
Point995	27.358730 3.627096 97.145820
Point1000	21.883719 39.863155 84.704470
Point1001	20.293877 30.283974 66.819890
Point1004	39.549113 5.894415 74.062136
Point1016	18.131659 1.296391 82.236620
Point1020	25.246124 27.683929 71.360581
Point1038	22.168508 7.988420 61.524605
Point1063	22.648166 8.302956 93.631762
Point1104	29.833921 17.165789 77.880386
Point1115	32.709259 19.581864 93.585369
Point1130	22.801963 10.277088 66.244675
Point1133	9.169582 1.325313 91.579056
Point1139	4.757670 29.021712 83.920890
Point1141	35.128763 8.962520 84.775848
Point1180	25.721261 29.071371 70.124773
Point1193	25.150084 24.021032 65.998328
Point1210	33.456035 15.404523 77.867533
Point1255	15.181879 32.860437 91.878221
Point1257	16.292850 36.287481 92.670409
Point1265	17.048183 22.254748 80.753262
Point1271	15.616147 27.432337 76.192472
Point1273	12.920788 19.581708 87.203678
Point1287	1.883981 19.370201 89.604653
Point1366	45.948103 19.611638 88.912956
Point1369	37.359729 27.057533 95.768529
Point1378	15.603284 10.458823 74.018357
Point1391	30.755641 17.680399 83.162030
Point1421	28.369570 25.876034 79.748049
Point1425	17.121008 32.781976 97.796157
Point1429	35.812275 21.265067 87.183448
Point1432	17.218389 0.629853 73.992055
Point1433	28.008856 12.681045 57.636702
Point1435	24.554384 34.423199 80.890589
Point1455	35.208197 13.091184 61.712076
Point1478	38.548406 19.551587 82.458228
Point1505	25.131460 21.526971 81.257185
Point1545	24.587995 19.983595 76.413011
Point1550	41.074012 14.833114 73.420872
Point1570	13.744501 16.255630 75.541313
Point1574	27.156116 15.782108 95.903902
Point1618	29.105840 12.488642 76.768620
Point1655	22.521813 31.633216 97.352316
Point1669	1.442506 14.451919 83.623753
Point1682	34.729391 22.130373 63.414911
Point1689	31.004541 6.989849 83.174331
Point1692	42.649037 18.418823 80.192039
Point1737	9.211076 13.147014 76.323901
Point1738	32.706713 11.570942 87.493673
Point1754	4.761256 5.969571 77.462664
Point1834	6.496776 13.825419 88.266727
Point1839	33.671080 13.501337 79.511148
Point1844	5.876318 3.413760 79.843543
Point1851	30.997865 1.151867 75.704374
Point1852	18.647168 15.493356 58.421925
Point1864	37.419210 4.384335 73.827485
Point1880	37.173120 34.155443 91.394503
Point1893	2.978335 25.443713 87.264554
Point1910	37.057010 32.787084 72.091288
Point1924	14.005268 2.192814 91.538387
Point1936	10.550704 22.439150 77.749985
Point1941	13.056129 10.717405 80.115717
Point1951	16.555977 9.433193 75.230507
Point1959	4.153010 5.941783 85.418126
Point2008	14.798484 16.067187 82.988234
Point2017	18.798109 25.414759 84.359183
Point2030	6.725274 36.556203 90.437707
Point2043	32.533630 18.662654 67.839151
Point2045	9.092502 34.400539 71.730141
Point2064	28.390609 5.474897 91.932417
Point2077	9.444036 20.285443 63.945981
Point2081	44.412316 13.162511 88.488383
Point2096	10.464954 13.035381 91.801202
Point2111	30.008232 1.131088 74.919582
Point2157	20.108824 7.144827 70.822012
Point2158	10.085045 10.616131 97.518912
Point2163	18.014085 5.361613 65.379359
Point2170	3.985702 18.127166 65.930677
Point2172	33.249004 18.807243 73.696891
Point2173	15.365532 6.412738 89.917717
Point2211	37.518079 19.399241 88.243576
Point2219	22.663473 25.834882 93.881973
Point2285	10.573538 17.839059 79.051340
Point2287	29.457979 31.220151 88.954653
Point2293	41.280535 23.673123 85.197709
Point2317	11.705691 33.241396 89.808316
Point2318	17.740336 14.095631 73.776116
Point2333	35.805022 9.605965 88.126436
Point2361	4.058109 30.981381 80.167907
Point2362	10.549931 5.559283 84.073125
Point2386	34.761662 26.808520 66.686558
Point2402	42.174615 13.344116 80.132687
Point2410	30.107383 23.212655 85.989071
Point2425	19.801711 20.926573 97.282308
Point2434	30.650248 19.080247 97.688432
Point2439	21.615300 28.550700 79.201673
Point2477	10.564186 6.528478 65.242436
Point2481	19.893112 29.717409 75.143677
Point2517	42.651103 18.264683 84.509603
Point2522	15.331268 11.197237 57.228531
Point2524	19.899334 2.301440 90.977955
Point2529	30.727822 18.034315 78.019201
Point2545	10.622021 6.805308 89.212124
Point2565	9.954982 8.812985 71.771278
Point2583	14.281463 9.143400 65.319094
